Timp,ID_Corp,PozitieX,PozitieY,UnghiPhi,VitezaX,VitezaY,VitezaOmega,AcceleratieX,AcceleratieY,AcceleratieEpsilon
0.7500,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.7500,3,8.2386,2.1573,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.7840,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.7840,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.7840,3,8.2385,2.1573,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.8180,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.8180,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.8180,3,8.2384,2.1573,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.8500,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.8500,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.8500,3,8.2383,2.1573,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.8860,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.8860,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.8860,3,8.2381,2.1572,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.9160,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.9160,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.9160,3,8.2380,2.1572,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.9480,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.9480,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.9480,3,8.2379,2.1572,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.9780,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.9780,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.9780,3,8.2378,2.1572,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.0120,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.0120,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.0120,3,8.2376,2.1572,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.0460,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.0460,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.0460,3,8.2375,2.1571,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.0780,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.0780,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.0780,3,8.2374,2.1571,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.1120,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
