Timp,ID_Legatura,FortaModul_N,FortaX_N,FortaY_N,Moment_Nm
2.4200,0,44.3301,-18.8542,-40.1208,0.0000
2.4200,1,196.1996,0.0000,-196.1996,392.3990
2.4500,0,44.3301,-18.8542,-40.1208,0.0000
2.4500,1,196.1996,0.0000,-196.1996,392.3990
2.4880,0,44.3301,-18.8542,-40.1208,0.0000
2.4880,1,196.1996,0.0000,-196.1996,392.3989
2.5180,0,44.3301,-18.8542,-40.1208,0.0000
2.5180,1,196.1996,0.0000,-196.1996,392.3990
2.5520,0,44.3301,-18.8542,-40.1208,0.0000
2.5520,1,196.1996,0.0000,-196.1996,392.3990
2.5860,0,44.3301,-18.8542,-40.1208,0.0000
2.5860,1,196.1996,0.0000,-196.1996,392.3990
2.6160,0,44.3301,-18.8542,-40.1208,0.0000
2.6160,1,196.1996,0.0000,-196.1996,392.3990
2.6500,0,44.3301,-18.8542,-40.1208,0.0000
2.6500,1,196.1996,0.0000,-196.1996,392.3989
2.6840,0,44.3302,-18.8542,-40.1208,0.0000
2.6840,1,196.1996,0.0000,-196.1996,392.3990
2.7180,0,44.3302,-18.8542,-40.1208,0.0000
2.7180,1,196.1996,0.0000,-196.1996,392.3990
2.7520,0,44.3302,-18.8542,-40.1208,0.0000
2.7520,1,196.1996,0.0000,-196.1996,392.3990
2.7840,0,44.3301,-18.8542,-40.1208,0.0000
2.7840,1,196.1996,0.0000,-196.1996,392.3990
2.8180,0,44.3301,-18.8542,-40.1208,0.0000
2.8180,1,196.1996,0.0000,-196.1996,392.3990
2.8520,0,44.3301,-18.8542,-40.1208,0.0000
2.8520,1,196.1996,0.0000,-196.1996,392.3990
2.8860,0,44.3301,-18.8542,-40.1208,0.0000
2.8860,1,196.1996,0.0000,-196.1996,392.3990
2.9200,0,44.3301,-18.8542,-40.1208,0.0000
2.9200,1,196.1996,0.0000,-196.1996,392.3990
2.9500,0,44.3301,-18.8542,-40.1208,0.0000
2.9500,1,196.1996,0.0000,-196.1996,392.3990
2.9880,0,44.3302,-18.8542,-40.1208,0.0000
2.9880,1,196.1996,0.0000,-196.1996,392.3990
3.0200,0,44.3302,-18.8542,-40.1208,0.0000
3.0200,1,196.1996,0.0000,-196.1996,392.3990
3.0540,0,44.3302,-18.8542,-40.1208,0.0000
3.0540,1,196.1996,0.0000,-196.1996,392.3990
3.0880,0,44.3301,-18.8542,-40.1208,0.0000
3.0880,1,196.1996,0.0000,-196.1996,392.3990
3.1220,0,44.3301,-18.8542,-40.1208,0.0000
3.1220,1,196.1996,0.0000,-196.1996,392.3989
3.1540,0,44.3301,-18.8542,-40.1208,0.0000
3.1540,1,196.1996,0.0000,-196.1996,392.3990
3.1860,0,44.3302,-18.8542,-40.1208,0.0000
3.1860,1,196.1996,0.0000,-196.1996,392.3990
3.2200,0,44.3301,-18.8542,-40.1208,0.0000
3.2200,1,196.1996,0.0000,-196.1996,392.3989
3.2520,0,44.3301,-18.8542,-40.1208,0.0000
3.2520,1,196.1996,0.0000,-196.1996,392.3989
3.2860,0,44.3301,-18.8542,-40.1208,0.0000
3.2860,1,196.1996,0.0000,-196.1996,392.3990
3.3200,0,44.3301,-18.8542,-40.1208,0.0000
3.3200,1,196.1996,0.0000,-196.1996,392.3990
3.3500,0,44.3301,-18.8542,-40.1208,0.0000
3.3500,1,196.1996,0.0000,-196.1996,392.3990
3.3840,0,44.3301,-18.8542,-40.1208,0.0000
3.3840,1,196.1996,0.0000,-196.1996,392.3990
3.4180,0,44.3301,-18.8542,-40.1208,0.0000
3.4180,1,196.1996,0.0000,-196.1996,392.3990
3.4500,0,44.3302,-18.8542,-40.1208,0.0000
3.4500,1,196.1996,0.0000,-196.1996,392.3990
3.4880,0,44.3302,-18.8542,-40.1208,0.0000
3.4880,1,196.1996,0.0000,-196.1996,392.3989
3.5200,0,44.3302,-18.8542,-40.1208,0.0000
3.5200,1,196.1996,0.0000,-196.1996,392.3989
3.5540,0,44.3302,-18.8542,-40.1208,0.0000
3.5540,1,196.1996,0.0000,-196.1996,392.3990
3.5900,0,44.3302,-18.8542,-40.1208,0.0000
3.5900,1,196.1996,0.0000,-196.1996,392.3990
3.6240,0,44.3302,-18.8542,-40.1208,0.0000
3.6240,1,196.1996,0.0000,-196.1996,392.3990
3.6540,0,44.3302,-18.8542,-40.1208,0.0000
3.6540,1,196.1996,0.0000,-196.1996,392.3990
3.6880,0,44.3301,-18.8542,-40.1208,0.0000
3.6880,1,196.1996,0.0000,-196.1996,392.3989
3.7200,0,44.3301,-18.8542,-40.1208,0.0000
3.7200,1,196.1996,0.0000,-196.1996,392.3990
3.7540,0,44.3302,-18.8542,-40.1208,0.0000
3.7540,1,196.1996,0.0000,-196.1996,392.3989
3.7900,0,44.3301,-18.8542,-40.1208,0.0000
3.7900,1,196.1996,0.0000,-196.1996,392.3990
3.8180,0,44.3301,-18.8542,-40.1208,0.0000
3.8180,1,196.1996,0.0000,-196.1996,392.3990
3.8520,0,44.3301,-18.8542,-40.1208,0.0000
3.8520,1,196.1996,0.0000,-196.1996,392.3990
3.8860,0,44.3301,-18.8542,-40.1208,0.0000
3.8860,1,196.1996,0.0000,-196.1996,392.3990
3.9180,0,44.3301,-18.8542,-40.1208,0.0000
3.9180,1,196.1996,0.0000,-196.1996,392.3990
3.9520,0,44.3301,-18.8542,-40.1208,0.0000
3.9520,1,196.1996,0.0000,-196.1996,392.3990
3.9860,0,44.3302,-18.8542,-40.1208,0.0000
3.9860,1,196.1996,0.0000,-196.1996,392.3990
4.0180,0,44.3301,-18.8542,-40.1208,0.0000
4.0180,1,196.1996,0.0000,-196.1996,392.3990
4.0540,0,44.3301,-18.8542,-40.1208,0.0000
4.0540,1,196.1996,0.0000,-196.1996,392.3990
4.0860,0,44.3301,-18.8542,-40.1208,0.0000
4.0860,1,196.1996,0.0000,-196.1996,392.3990
4.1180,0,44.3302,-18.8542,-40.1208,0.0000
4.1180,1,196.1996,0.0000,-196.1996,392.3990
4.1520,0,44.3302,-18.8542,-40.1208,0.0000
4.1520,1,196.1996,0.0000,-196.1996,392.3990
