Timp,ID_Legatura,FortaModul_N,FortaX_N,FortaY_N,Moment_Nm
2.4740,0,44.3301,-18.8542,-40.1208,0.0000
2.4740,1,196.1996,0.0000,-196.1996,392.3990
2.5040,0,44.3301,-18.8542,-40.1208,0.0000
2.5040,1,196.1996,0.0000,-196.1996,392.3990
2.5380,0,44.3301,-18.8542,-40.1208,0.0000
2.5380,1,196.1996,0.0000,-196.1996,392.3989
2.5700,0,44.3301,-18.8542,-40.1208,0.0000
2.5700,1,196.1996,0.0000,-196.1996,392.3990
2.6060,0,44.3301,-18.8542,-40.1208,0.0000
2.6060,1,196.1996,0.0000,-196.1996,392.3990
2.6380,0,44.3302,-18.8542,-40.1208,0.0000
2.6380,1,196.1996,0.0000,-196.1996,392.3990
2.6720,0,44.3301,-18.8542,-40.1208,0.0000
2.6720,1,196.1996,0.0000,-196.1996,392.3990
2.7040,0,44.3302,-18.8542,-40.1208,0.0000
2.7040,1,196.1996,0.0000,-196.1996,392.3990
2.7380,0,44.3302,-18.8542,-40.1208,0.0000
2.7380,1,196.1996,0.0000,-196.1996,392.3990
2.7720,0,44.3302,-18.8542,-40.1208,0.0000
2.7720,1,196.1996,0.0000,-196.1996,392.3990
2.8060,0,44.3301,-18.8542,-40.1208,0.0000
2.8060,1,196.1996,0.0000,-196.1996,392.3990
2.8400,0,44.3302,-18.8542,-40.1208,0.0000
2.8400,1,196.1996,0.0000,-196.1996,392.3989
2.8760,0,44.3301,-18.8542,-40.1208,0.0000
2.8760,1,196.1996,0.0000,-196.1996,392.3990
2.9060,0,44.3301,-18.8542,-40.1208,0.0000
2.9060,1,196.1996,0.0000,-196.1996,392.3990
2.9360,0,44.3301,-18.8542,-40.1208,0.0000
2.9360,1,196.1996,0.0000,-196.1996,392.3990
2.9360,0,44.3301,-18.8542,-40.1208,0.0000
2.9360,1,196.1996,0.0000,-196.1996,392.3990
3.0380,0,44.3302,-18.8542,-40.1208,0.0000
3.0380,1,196.1996,0.0000,-196.1996,392.3990
3.0520,0,44.3301,-18.8542,-40.1208,0.0000
3.0520,1,196.1996,0.0000,-196.1996,392.3989
3.0620,0,44.3301,-18.8542,-40.1208,0.0000
3.0620,1,196.1996,0.0000,-196.1996,392.3990
3.0980,0,44.3301,-18.8542,-40.1208,0.0000
3.0980,1,196.1996,0.0000,-196.1996,392.3990
3.1280,0,44.3301,-18.8542,-40.1208,0.0000
3.1280,1,196.1996,0.0000,-196.1996,392.3990
3.1620,0,44.3301,-18.8542,-40.1208,0.0000
3.1620,1,196.1996,0.0000,-196.1996,392.3989
3.2000,0,44.3301,-18.8542,-40.1208,0.0000
3.2000,1,196.1996,0.0000,-196.1996,392.3990
3.2320,0,44.3301,-18.8542,-40.1208,0.0000
3.2320,1,196.1996,0.0000,-196.1996,392.3990
3.2640,0,44.3301,-18.8542,-40.1208,0.0000
3.2640,1,196.1996,0.0000,-196.1996,392.3990
3.2960,0,44.3301,-18.8542,-40.1208,0.0000
3.2960,1,196.1996,0.0000,-196.1996,392.3990
3.3300,0,44.3302,-18.8542,-40.1208,0.0000
3.3300,1,196.1996,0.0000,-196.1996,392.3989
3.3640,0,44.3301,-18.8542,-40.1208,0.0000
3.3640,1,196.1996,0.0000,-196.1996,392.3990
3.3960,0,44.3301,-18.8542,-40.1208,0.0000
3.3960,1,196.1996,0.0000,-196.1996,392.3990
3.4300,0,44.3302,-18.8542,-40.1208,0.0000
3.4300,1,196.1996,0.0000,-196.1996,392.3990
3.4640,0,44.3301,-18.8542,-40.1208,0.0000
3.4640,1,196.1996,0.0000,-196.1996,392.3990
3.5000,0,44.3302,-18.8542,-40.1208,0.0000
3.5000,1,196.1996,0.0000,-196.1996,392.3990
3.5280,0,44.3302,-18.8542,-40.1208,0.0000
3.5280,1,196.1996,0.0000,-196.1996,392.3989
3.5680,0,44.3302,-18.8542,-40.1208,0.0000
3.5680,1,196.1996,0.0000,-196.1996,392.3990
3.6140,0,44.3301,-18.8542,-40.1208,0.0000
3.6140,1,196.1996,0.0000,-196.1996,392.3990
3.6980,0,44.3302,-18.8542,-40.1208,0.0000
3.6980,1,196.1996,0.0000,-196.1996,392.3990
3.7300,0,44.3302,-18.8542,-40.1208,0.0000
3.7300,1,196.1996,0.0000,-196.1996,392.3990
3.7620,0,44.3302,-18.8542,-40.1208,0.0000
3.7620,1,196.1996,0.0000,-196.1996,392.3990
3.7960,0,44.3301,-18.8542,-40.1208,0.0000
3.7960,1,196.1996,0.0000,-196.1996,392.3990
3.8280,0,44.3301,-18.8542,-40.1208,0.0000
3.8280,1,196.1996,0.0000,-196.1996,392.3990
3.8620,0,44.3301,-18.8542,-40.1208,0.0000
3.8620,1,196.1996,0.0000,-196.1996,392.3990
3.8960,0,44.3301,-18.8542,-40.1208,0.0000
3.8960,1,196.1996,0.0000,-196.1996,392.3990
